id,raw_id,name,x,y,area
admin_area:227,227,石湖荡镇,13486287.257830085,3629950.3013320584,60570843.12975345
admin_area:228,228,安亭镇,13491821.95818759,3671777.215718244,121920088.71086042
admin_area:229,229,江桥镇,13503268.801423846,3666788.914125304,57479946.3558274
admin_area:230,230,徐行镇,13501715.403523294,3688794.91582898,55020288.97429834
admin_area:231,231,华亭镇,13498843.053929854,3693727.7714516153,54534479.59445565
admin_area:232,232,外冈镇,13486790.710764205,3679848.489966259,70045975.29693645
admin_area:233,233,南翔镇,13503158.078801084,3672655.4653482162,45506260.50046176
admin_area:234,234,马陆镇,13501031.444742734,3679338.064720464,96367895.35258701
admin_area:235,235,新成路街道,13499169.849850627,3683061.575150545,7554222.863683815
admin_area:236,236,菊园街道,13494641.567695433,3681968.4902949757,25864179.26373784
admin_area:237,237,嘉定镇街道,13496782.269365426,3682692.909176942,5516148.42082532
admin_area:238,238,泗泾镇,13499159.881951567,3647905.7120396323,32935045.582026444
admin_area:239,239,朱龙社区,13503796.843606375,3648552.453814992,5270707.331806487
admin_area:240,240,兴联社区,13506039.00527354,3651222.3673837613,1848054.667314095
admin_area:241,241,中华村,13508358.264767751,3650165.306157708,1295142.5001832296
admin_area:242,242,联明村,13507463.586521808,3651355.255140232,2578311.2533140685
admin_area:243,243,沪星村,13506226.54449339,3653916.328955207,3221497.6837534746
admin_area:244,244,华林路第一社区,13508784.976976037,3650776.813133509,631471.2983742808
admin_area:245,245,华林路第二社区,13508848.406005876,3651340.745566617,118156.67071545508
admin_area:246,246,九星村,13510994.172427477,3652366.145321493,2013125.8613943106
admin_area:247,247,七宝村,13509068.48289344,3652845.3137396583,115413.38386789932
admin_area:248,248,亭源社区,13504768.304427862,3649386.776427086,428342.3715827359
admin_area:249,249,复地社区,13507364.624989258,3649465.3850078625,1011708.1121690128
admin_area:250,250,北场社区,13507861.529428745,3647332.231992688,1934584.300738316
admin_area:251,251,亭南社区,13507737.183637928,3646074.803483801,706365.1838045033
admin_area:252,252,颐景园社区,13506966.827499492,3649144.040611413,780399.1988570222
admin_area:253,253,青春社区,13504806.822456852,3650596.6924566007,570357.9555454066
admin_area:254,254,象屿都城社区,13506386.781930665,3648995.918920695,475813.3208388384
admin_area:255,255,紫金社区,13505636.220023304,3649231.4643755616,398191.26165832416
admin_area:256,256,九亭家园社区,13506895.649181936,3647457.4788560085,198632.55911607377
admin_area:257,257,九亭家园第二社区,13506771.053365508,3647832.4980904963,206447.7578608868
