id,raw_id,name,lon,lat,x,y,adname
station:BV10039991,BV10039991,中潭路(地铁站),121.43638747074375,31.256425447966176,13518236.815136107,3666095.8368970817,普陀区
station:BV09356941,BV09356941,交通路(地铁站),121.3791666650069,31.269392940705362,13511867.024179589,3667784.586541668,普陀区
station:BV10820983,BV10820983,古浪路(地铁站),121.38756331328943,31.286322791505224,13512801.73479064,3669989.7013297966,普陀区
station:BV10039808,BV10039808,大渡河路(地铁站),121.38978093462097,31.233587911199308,13513048.599268004,3663122.280613624,普陀区
station:BV10039865,BV10039865,岚皋路(地铁站),121.41729578158987,31.25803009937746,13516111.538021412,3666304.7972126543,普陀区
station:BV11653227,BV11653227,平利路(地铁站),121.42615503589329,31.271298871462324,13517097.745699137,3668032.814446834,普陀区
station:BV10039866,BV10039866,新村路(地铁站),121.41802489834019,31.265684427081837,13516192.702926774,3667301.6051029298,普陀区
station:BV10039804,BV10039804,曹杨路(地铁站),121.4130552549553,31.241138321093658,13515639.484755822,3664105.300454158,普陀区
station:BV10039801,BV10039801,李子园(地铁站),121.38531790809905,31.270841332576527,13512551.777428256,3667973.22424895,普陀区
station:BV10039803,BV10039803,枫桥路(地铁站),121.40675186144539,31.243681740614328,13514937.794200124,3664436.456705974,普陀区
station:BV10025258,BV10025258,桃浦新村(地铁站),121.34502819425622,31.283467880892797,13508066.74699969,3669617.8211838775,普陀区
station:BV10820987,BV10820987,梅岭北路(地铁站),121.39234509553208,31.245130912204147,13513334.0403549,3664625.1445617634,普陀区
station:BV10820971,BV10820971,武威东路(地铁站),121.38744114871848,31.277464512213328,13512788.13549281,3668835.860181402,普陀区
station:BV10039800,BV10039800,武威路(地铁站),121.36005556464873,31.27848916148842,13509739.586219512,3668969.321021177,普陀区
station:BV10039778,BV10039778,武宁路(地铁站),121.42587366381487,31.236197028249915,13517066.42350265,3663461.963728261,普陀区
station:BV10039780,BV10039780,江宁路(地铁站),121.44022546590188,31.246150790557596,13518664.058802718,3664757.9384811562,普陀区
station:BV10030032,BV10030032,真光路(地铁站),121.37951660147534,31.25510987033675,13511905.97892906,3665924.52288924,普陀区
station:BV10039809,BV10039809,真北路(地铁站),121.37730648895491,31.234078113925975,13511659.950328724,3663186.0997978593,普陀区
station:BV09356943,BV09356943,真华路(地铁站),121.4081008642306,31.26330464557241,13515087.964503232,3666991.6822243077,普陀区
station:BV10039802,BV10039802,真如(地铁站),121.40256648369515,31.252593463733223,13514471.880080255,3665596.8440494686,普陀区
station:BV10820986,BV10820986,祁安路(地铁站),121.38016370016008,31.293373253469593,13511978.013625126,3670908.141490503,普陀区
station:BV10039810,BV10039810,祁连山南路(地铁站),121.36265179254005,31.239481661117498,13510028.596986318,3663889.606147296,普陀区
station:BV10030224,BV10030224,祁连山路(地铁站),121.37139658655427,31.27348128947009,13511002.063002937,3668317.0581355006,普陀区
station:BV10039776,BV10039776,金沙江路(地铁站),121.40855268234382,31.23398396132438,13515138.26066552,3663173.8421042697,普陀区
station:BV10039946,BV10039946,铜川路(地铁站),121.3923834371291,31.252559584218005,13513338.308521956,3665592.4324212843,普陀区
station:BV10039864,BV10039864,镇坪路(地铁站),121.4251465400403,31.24821368526512,13516985.480454331,3665026.5434025107,普陀区
station:BV10039779,BV10039779,长寿路(地铁站),121.43365431185441,31.24271909088111,13517932.561280333,3664311.117514923,普陀区
station:BV10820974,BV10820974,长风公园(地铁站),121.39166985640999,31.227092353901188,13513258.873079676,3662276.6593597685,普陀区
station:BV10039777,BV10039777,隆德路(地铁站),121.41893682048006,31.232354154288068,13516294.217635011,3662961.6600437867,普陀区
station:BV10039977,BV10039977,三门路(地铁站),121.50393183167432,31.315222933889334,13525755.81899981,3673754.8629329503,杨浦区
